127.0.0.1 - - [15/Apr/2019:16:26:37 +0800] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:11 +0800] "GET /bookstore/ HTTP/1.1" 200 6673
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:11 +0800] "GET /bookstore/js/my.js HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:11 +0800] "GET /bookstore/css/main.css HTTP/1.1" 200 6874
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:11 +0800] "GET /bookstore/images/logo.png HTTP/1.1" 200 4266
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:11 +0800] "GET /bookstore/images/cart.gif HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:11 +0800] "GET /bookstore/images/serchbutton.gif HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:11 +0800] "GET /bookstore/images/billboard.gif HTTP/1.1" 200 3806
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:11 +0800] "GET /bookstore/ad/index_ad.jpg HTTP/1.1" 200 157825
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:11 +0800] "GET /bookstore/images/hottitle.gif HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:11 +0800] "GET /bookstore/bookcover/java2.jpg HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:11 +0800] "GET /bookstore/bookcover/travelbook.jpg HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:11 +0800] "GET /bookstore/bookcover/java2.jpg HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:11 +0800] "GET /bookstore/bookcover/travelbook.jpg HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:15 +0800] "GET /bookstore/myaccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:16 +0800] "GET /bookstore/login.jsp HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:16 +0800] "GET /bookstore/images/loginbutton.gif HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:16 +0800] "GET /bookstore/images/loginline.gif HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:16 +0800] "GET /bookstore/images/signupbutton.gif HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:16 +0800] "GET /bookstore/images/logintitle.gif HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:16 +0800] "GET /bookstore/images/loginbg.gif HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:34 +0800] "GET /bookstore/register.jsp HTTP/1.1" 200 7845
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:34 +0800] "GET /bookstore/images/signup.gif HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:34 +0800] "GET /bookstore/images/bottomlogo.gif HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:27:36 +0800] "GET /bookstore/imageCode HTTP/1.1" 200 1946
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:28:36 +0800] "POST /bookstore/register HTTP/1.1" 200 5327
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:28:36 +0800] "GET /bookstore/images/IconTexto_WebDev_009.jpg HTTP/1.1" 200 22460
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:28:42 +0800] "GET /bookstore/index.jsp HTTP/1.1" 200 6673
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:28:42 +0800] "GET /bookstore/bookcover/travelbook.jpg HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:28:42 +0800] "GET /bookstore/bookcover/java2.jpg HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:28:42 +0800] "GET /bookstore/bookcover/travelbook.jpg HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:28:42 +0800] "GET /bookstore/bookcover/java2.jpg HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:28:51 +0800] "GET /bookstore/active?activeCode=bf00e384-2ef1-44d0-b07f-be1fbb2307d4 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:28:59 +0800] "GET /bookstore/myaccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:28:59 +0800] "GET /bookstore/login.jsp HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:29:08 +0800] "POST /bookstore/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:29:08 +0800] "GET /bookstore/index.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:29:08 +0800] "GET /bookstore/bookcover/java2.jpg HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:29:08 +0800] "GET /bookstore/bookcover/travelbook.jpg HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:29:08 +0800] "GET /bookstore/bookcover/java2.jpg HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:29:08 +0800] "GET /bookstore/bookcover/travelbook.jpg HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [15/Apr/2019:16:29:19 +0800] "GET /bookstore/showProductByPage?category=%E8%AE%A1%E7%AE%97%E6%9C%BA HTTP/1.1" 200 8249
